name,mass,semi_major_axis,temp_eq,star_luminosity,star_radius,star_teff,star_mass,radius
HAT-P-42 b,309.88269642980794,0.0575,1427.5780734151144,2.2913884570096297,1.528,5743.0,1.179,14.313868393408693
HAT-P-44 Bb,124.58873538511253,0.0507,1122.7130824496533,0.6797136456988379,0.979,5295.0,0.939,14.347495335601511
HAT-P-45 Ab,283.5029386824499,0.0452,1649.3798612375165,2.5200037006008684,1.319,6330.0,1.259,15.984006522318557
HAT-P-46 b,156.68940445117468,0.0577,1802.312772378223,5.817354085526812,1.395,7587.0,1.763,14.392331258525266
HAT-P-57 Ab,587.9825522001483,0.0406,2198.250466304266,6.422798822135419,1.5,7500.0,1.47,15.838289772816356
HAT-P-66 b,248.85964236363037,0.04363,1900.3389950774538,4.14245980266697,1.881,6002.0,1.255,17.822279362192504
HAT-P-67 Ab,143.02278296760366,0.06505,1988.938100945992,10.726569872311552,2.648,6417.0,1.292,23.987218764208777
HAT-P-70 b,2154.876596711895,0.04739,2551.3468690840737,15.878702154604587,1.858,8450.0,1.89,20.960793966855334
HATS-16 b,1039.2988895645865,0.03744,1591.0588516052037,1.4989260674872311,1.238,5738.0,0.97,14.571674950220284
HATS-19 b,135.71272961592612,0.0589,1563.6068896720776,3.300845091170696,1.74,5896.0,1.303,18.606908013358208
HATS-21 b,105.51903098943204,0.04676,1283.224509569686,0.9892889204308889,1.021,5695.0,1.08,12.587685360844139
HATS-23 b,467.2077576941719,0.03397,1658.5672679422557,1.447592976320345,1.199,5780.0,1.121,20.848704159545946
HATS-26 b,206.58846428653862,0.04735,1925.1416994812764,5.100326912802334,2.04,6071.0,1.299,19.615716279142692
HATS-27 b,168.44905549517765,0.0611,1674.9709600319502,4.692444377315334,1.74,6438.0,1.415,16.813471096408023
HATS-31 b,279.68899780331384,0.0478,1837.4931230059328,4.226700342695587,1.87,6050.0,1.275,18.382728398739435
HATS-32 b,292.4021340671008,0.04024,1480.8086347356686,1.1460654631953273,1.097,5700.0,1.099,14.000016932942414
HATS-34 b,299.07653060558897,0.03166,1443.3549835705912,0.7259020141365041,0.98,5380.0,0.955,16.02884244524231
HATS-37 Ab,31.465012252872807,0.04913,1102.4031017341263,0.5583423659321693,0.877,5326.0,0.843,6.79264232294884
HATS-40 b,505.34716648553297,0.04997,2121.9007998634374,8.024975175907203,2.26,6460.0,1.56,17.710189554883115
HATS-41 b,3082.9355439683454,0.0583,1710.6799328861805,4.492738045243736,1.71,6424.0,1.496,14.907944372148446
HATS-42 b,597.5174043979886,0.03689,1863.40248129538,2.665082606097529,1.48,6060.0,1.273,15.692573023314152
HATS-44 b,177.9839076930179,0.03649,1192.2053254437687,0.4310408368138948,0.847,5080.0,0.86,11.959982439911572
HATS-46 b,54.98431434087873,0.05367,1107.0038325309795,0.5985019872300804,0.853,5495.0,0.917,10.12170960003763
HATS-50 b,123.95307857192317,0.05046,1412.602639180115,1.4491401298063529,1.117,5990.0,1.168,12.666148225960708
HATS-51 b,244.09221626471023,0.04639,1569.3984259647482,2.0564036864221507,1.44,5758.0,1.187,15.804662830623538
HATS-55 Ab,292.7199624736955,0.05412,1368.2211112501009,1.7055267055451728,1.126,6214.0,1.1955,14.022434894404288
HATS-62 Ab,56.89128478044678,0.04163,1248.472600952331,0.670653728078684,0.923,5435.0,0.911,11.825474671140308
HATS-69 b,183.38699060512735,0.03211,1347.5060923623353,0.4848624391715771,0.8785,5137.0,0.892,10.592486790737052
HATS-8 b,43.860320110065125,0.04667,1346.9991811232303,1.1067355812381885,1.086,5679.0,1.056,9.785440178109468
